sit,Mid,Mid,North,North,South,South
pro,gas,photovoltaics,gas,photovoltaics,gas,photovoltaics
timeindex,,,,,,
2019-07-05 18:00:00,54622.0352459,1283.41246441,9968.48513931,347.757897454,5427.66182231,565.862547454
2019-07-05 19:00:00,54313.6796317,69.8254959769,9772.10504911,180.282422759,5853.03900195,56.6147361666
2019-07-05 20:00:00,53154.6133579,0.0,9697.37300272,68.9604895801,5799.97675826,0.0
2019-07-05 21:00:00,49181.6129922,0.0,9346.29461834,21.6732967252,6161.26563308,0.0
2019-07-05 22:00:00,45887.914019,0.0,8861.47232592,9.85149851144,5839.60793585,0.0
2019-07-05 23:00:00,44060.429933,0.0,8612.96076949,13.792097916,5175.09446967,0.0
2019-07-06 00:00:00,43234.1227227,0.0,8428.39939847,29.5544955343,4705.97192558,0.0
2019-07-06 01:00:00,43022.7418085,0.0,8228.68958424,52.2129421106,4341.91808488,0.0
2019-07-06 02:00:00,43836.5583284,0.0,8015.98331083,91.6189361564,4145.60550749,0.0
2019-07-06 03:00:00,45953.2894786,121.024073931,8223.60255191,193.089370824,4028.55528529,0.0
2019-07-06 04:00:00,52382.6668649,435.658674881,8965.45195523,331.995499835,4061.73487584,0.0
2019-07-06 05:00:00,56957.8488324,1787.78970776,9783.21589268,561.535415152,4045.74886988,37.1840776947
2019-07-06 06:00:00,57841.2199944,4516.14971255,9986.12558411,893.530914987,3736.90117427,405.939367343
2019-07-06 07:00:00,57195.4812922,6429.213078,10007.6188652,1234.39276348,3361.93629851,1482.283921
2019-07-06 08:00:00,57058.6869804,7716.11172789,9903.04581191,1540.77436719,3083.12264865,2703.02928021
2019-07-06 09:00:00,57246.4188578,8761.11490957,9603.73565425,1770.31428251,2809.37425191,3454.19511868
2019-07-06 10:00:00,55248.2292623,9577.49302981,9464.98144203,1886.56196494,2757.30081429,3815.02307942
2019-07-06 11:00:00,53025.023914,9997.23485056,9200.10136035,1899.36891301,2707.42568165,3994.85160836
2019-07-06 12:00:00,50838.7228153,10754.7931334,8936.03257095,1883.60651539,2367.93432555,4042.17823661
2019-07-06 13:00:00,50401.6378106,10611.5414462,8788.30230615,1757.50733444,2632.44352144,3988.7281028
2019-07-06 14:00:00,50027.1872253,10050.1510746,8762.4722104,1557.52191466,2791.23962825,3821.63709835
2019-07-06 15:00:00,50515.7848764,9377.0755348,8891.07416957,1301.38295336,3005.03905437,3533.18359351
2019-07-06 16:00:00,51832.0428645,7401.69342312,9090.89509807,960.521104865,3358.48230756,3058.08184166
2019-07-06 17:00:00,53248.6824351,4555.35021421,9187.7466961,623.599855774,4087.16284924,2039.0798827
2019-07-06 18:00:00,53385.0549493,1939.09524679,9203.58890091,352.68364671,5358.51751,576.02092102
2019-07-06 19:00:00,53298.8642247,87.3073165804,9148.2951518,188.163621568,5799.53160531,55.7444705184
2019-07-06 20:00:00,52975.9004031,0.0,9157.21628783,68.9604895801,5789.83855004,0.0
2019-07-06 21:00:00,49078.805002,0.0,8821.65754211,22.6584465763,6073.70838025,0.0
2019-07-06 22:00:00,46298.1851572,0.0,8311.09291707,11.8217982137,5795.36848179,0.0
2019-07-06 23:00:00,44440.9155787,0.0,8082.83723745,15.7623976183,5264.49503308,0.0
2019-07-07 00:00:00,43102.4900625,0.0,7872.01824835,31.5247952366,4794.4508337,0.0
2019-07-07 01:00:00,42939.1502651,0.0,7666.58704611,56.1535415152,4453.43837532,0.0
2019-07-07 02:00:00,42819.0474729,0.0,7480.75234519,86.6931869007,4267.26400616,0.0
2019-07-07 03:00:00,42194.5129535,0.0,7327.81289883,158.609126034,4105.0526746,0.0
2019-07-07 04:00:00,43260.9037106,913.864080546,7432.96244137,296.530105194,4062.65653113,0.0
2019-07-07 05:00:00,44575.7596438,2920.5709683,7578.35749827,498.485824679,4042.84555808,34.5574577383
2019-07-07 06:00:00,44016.7596644,7004.82810415,7792.42178566,840.332823026,3567.04831205,387.774549814
2019-07-07 07:00:00,42511.1612465,10927.8555233,8023.56722165,1154.59562554,2820.25392075,1436.87187718
2019-07-07 08:00:00,40680.2107673,14151.0375697,8161.67938061,1387.09099041,1978.43140984,2660.25967936
