",South,South,South,Mid,Mid,Mid,North,North,North"
"Timestep,Gas,PV,PHS,Gas,PV,PHS,Gas,PV,PHS"
253.00,3950.60,2951.40,0.00,66832.00,3615.00,0.00,16000.40,89.60,0.00
254.00,3396.80,2953.20,0.00,67744.00,2425.00,0.00,16288.20,24.80,0.00
255.00,3778.40,2721.60,0.00,69286.00,995.00,0.00,16792.00,2.00,0.00
256.00,4571.40,2031.60,0.00,70672.00,100.00,0.00,16913.00,0.00,0.00
257.00,5600.00,915.00,0.00,73581.00,0.00,0.00,16811.00,0.00,0.00
258.00,6366.60,185.40,0.00,72599.00,0.00,0.00,16495.00,0.00,0.00
259.00,7019.40,9.60,0.00,70443.00,0.00,0.00,15984.00,0.00,0.00
260.00,7322.00,0.00,0.00,66675.00,0.00,0.00,15424.00,0.00,0.00
261.00,7355.00,0.00,0.00,64187.00,0.00,0.00,14731.00,0.00,0.00
262.00,7100.00,0.00,0.00,61755.00,0.00,0.00,13827.00,0.00,0.00
263.00,6856.00,0.00,0.00,57139.00,0.00,0.00,12978.00,0.00,0.00
264.00,6481.00,0.00,0.00,53498.00,0.00,0.00,12381.00,0.00,0.00
265.00,5626.00,0.00,0.00,51562.00,0.00,0.00,12148.00,0.00,0.00
266.00,5044.00,0.00,0.00,50881.00,0.00,0.00,12112.00,0.00,0.00
267.00,4720.00,0.00,0.00,51276.00,0.00,0.00,12189.00,0.00,0.00
268.00,4552.00,0.00,0.00,52532.00,0.00,0.00,12400.00,0.00,0.00
269.00,4446.00,0.00,0.00,54568.00,0.00,0.00,12964.00,0.00,0.00
270.00,4413.00,0.00,0.00,60707.00,0.00,0.00,14467.00,0.00,0.00
271.00,4516.00,0.00,0.00,67561.00,0.00,0.00,16055.00,0.00,0.00
272.00,4844.00,57.00,0.00,69294.00,0.00,0.00,16399.00,0.00,0.00
273.00,4909.80,766.20,0.00,67247.00,1385.00,0.00,16234.00,0.00,0.00
274.00,4261.20,2239.80,0.00,65264.00,3545.00,0.00,16046.00,132.00,0.00
275.00,3563.80,3265.20,0.00,64646.00,5080.00,0.00,15832.40,227.60,0.00
276.00,3140.60,3737.40,0.00,63507.00,5480.00,0.00,15571.00,268.00,0.00
277.00,2974.80,3898.20,0.00,60488.00,7330.00,0.00,15347.60,228.40,0.00
278.00,2509.80,3823.20,0.00,61139.00,5170.00,0.00,15396.00,58.00,0.00
279.00,2962.80,3502.20,0.00,63561.00,2650.00,0.00,15723.20,2.80,0.00
280.00,3730.20,2794.80,0.00,67033.00,200.00,0.00,16073.00,0.00,0.00
281.00,5034.40,1434.60,0.00,70667.00,0.00,0.00,16109.00,0.00,0.00
282.00,6101.20,322.80,0.00,70302.00,0.00,0.00,15779.00,0.00,0.00
283.00,6883.80,13.20,0.00,67981.00,0.00,0.00,15135.00,0.00,0.00
284.00,7278.00,0.00,0.00,63809.00,0.00,0.00,14422.00,0.00,0.00
285.00,7219.00,0.00,0.00,61422.00,0.00,0.00,13767.00,0.00,0.00
286.00,6957.00,0.00,0.00,60302.00,0.00,0.00,13127.00,0.00,0.00
287.00,6684.00,0.00,0.00,56429.00,0.00,0.00,12432.00,0.00,0.00
288.00,6361.00,0.00,0.00,53033.00,0.00,0.00,11862.00,0.00,0.00
289.00,5669.00,0.00,0.00,50722.00,0.00,0.00,11523.00,0.00,0.00
290.00,5129.00,0.00,0.00,49335.00,0.00,0.00,11338.00,0.00,0.00
291.00,4747.00,0.00,0.00,49382.00,0.00,0.00,11214.00,0.00,0.00
292.00,4475.00,0.00,0.00,49755.00,0.00,0.00,11267.00,0.00,0.00
293.00,4359.00,0.00,0.00,49306.00,0.00,0.00,11415.00,0.00,0.00
294.00,4275.00,0.00,0.00,49264.00,0.00,0.00,11835.00,0.00,0.00
295.00,4286.00,0.00,0.00,52441.00,0.00,0.00,12310.00,0.00,0.00
296.00,4364.00,63.00,0.00,55797.00,0.00,0.00,12793.00,0.00,0.00
297.00,3628.80,859.20,0.00,57451.00,640.00,0.00,13202.00,0.00,0.00
298.00,2432.60,2483.40,0.00,58134.00,1670.00,0.00,13351.40,153.60,0.00
299.00,1889.00,3477.00,0.00,57855.00,2660.00,0.00,13386.80,249.20,0.00
300.00,1637.80,3862.20,0.00,56223.00,3265.00,0.00,13286.20,278.80,0.00
301.00,1597.20,3949.80,0.00,51538.00,5855.00,0.00,13200.00,260.00,0.00
302.00,1523.80,3910.20,0.00,50379.00,4575.00,0.00,13249.00,130.00,0.00
303.00,1579.00,3657.00,0.00,52045.00,2440.00,0.00,13844.20,4.80,0.00
304.00,2225.80,2971.20,0.00,54693.00,340.00,0.00,14698.00,0.00,0.00
305.00,3575.60,1547.40,0.00,59417.00,0.00,0.00,14981.00,0.00,0.00
306.00,4870.60,341.40,0.00,59933.00,0.00,0.00,14788.00,0.00,0.00
307.00,6126.20,13.80,0.00,57858.00,0.00,0.00,14385.00,0.00,0.00
308.00,6563.00,0.00,0.00,54128.00,0.00,0.00,13916.00,0.00,0.00
309.00,6668.00,0.00,0.00,52421.00,0.00,0.00,13381.00,0.00,0.00
310.00,6533.00,0.00,0.00,52721.00,0.00,0.00,12868.00,0.00,0.00
311.00,6260.00,0.00,0.00,49512.00,0.00,0.00,12367.00,0.00,0.00
312.00,5946.00,0.00,0.00,46209.00,0.00,0.00,11844.00,0.00,0.00
