", South, South, South "
"Timestep, Gas, PV, PHS "
724.00,4807.00,0.00,0.00
725.00,4727.00,0.00,0.00
726.00,4702.00,0.00,0.00
727.00,4828.00,0.00,0.00
728.00,5123.60,101.40,0.00
729.00,4977.40,960.60,0.00
730.00,4397.60,2489.40,0.00
731.00,3903.80,3358.20,0.00
732.00,3696.20,3670.80,0.00
733.00,3723.00,3639.00,0.00
734.00,3371.20,3472.80,0.00
735.00,3795.80,3184.20,0.00
736.00,4550.60,2606.40,0.00
737.00,5674.20,1390.80,0.00
738.00,6715.20,325.80,0.00
739.00,7145.60,20.40,0.00
740.00,7908.00,0.00,0.00
741.00,8005.00,0.00,0.00
742.00,7841.00,0.00,0.00
743.00,7523.00,0.00,0.00
744.00,7105.00,0.00,0.00
745.00,6114.00,0.00,0.00
746.00,5467.00,0.00,0.00
747.00,5040.00,0.00,0.00
748.00,4882.00,0.00,0.00
749.00,4803.00,0.00,0.00
750.00,4782.00,0.00,0.00
751.00,4852.00,0.00,0.00
752.00,5191.00,51.00,0.00
753.00,5521.40,489.60,0.00
754.00,5397.60,1517.40,0.00
755.00,4899.80,2368.20,0.00
756.00,4513.80,2791.20,0.00
757.00,4368.80,2944.20,0.00
758.00,3896.60,2903.40,0.00
759.00,4286.40,2664.60,0.00
760.00,4846.00,2205.00,0.00
761.00,5575.60,1388.40,0.00
762.00,6553.60,434.40,0.00
763.00,7079.20,40.80,0.00
764.00,7859.00,0.00,0.00
765.00,7981.00,0.00,0.00
766.00,7817.00,0.00,0.00
767.00,7497.00,0.00,0.00
768.00,7021.00,0.00,0.00
769.00,6089.00,0.00,0.00
770.00,5397.00,0.00,0.00
771.00,5021.00,0.00,0.00
772.00,4823.00,0.00,0.00
773.00,4703.00,0.00,0.00
774.00,4698.00,0.00,0.00
775.00,4815.00,0.00,0.00
776.00,5154.00,75.00,0.00
777.00,5310.80,694.20,0.00
778.00,4769.40,2067.60,0.00
779.00,4208.00,2997.00,0.00
780.00,3847.40,3459.60,0.00
781.00,3723.80,3607.20,0.00
782.00,3237.00,3558.00,0.00
783.00,3558.00,3330.00,0.00
784.00,4177.80,2794.20,0.00
785.00,5123.00,1776.00,0.00
786.00,6304.00,558.00,0.00
787.00,6915.80,46.20,0.00
788.00,7669.00,0.00,0.00
789.00,7749.00,0.00,0.00
790.00,7441.00,0.00,0.00
791.00,7174.00,0.00,0.00
792.00,6878.00,0.00,0.00
793.00,6127.00,0.00,0.00
794.00,5415.00,0.00,0.00
795.00,4946.00,0.00,0.00
796.00,4712.00,0.00,0.00
797.00,4582.00,0.00,0.00
798.00,4504.00,0.00,0.00
799.00,4503.00,0.00,0.00
