Timestamp,Photovoltaics,Gas,Pumped Hydro Storage 1,Pumped Hydro Storage 2
2016-01-12 21:00:00,0.00,6956.65,0.00,0.00
2016-01-12 22:00:00,0.00,6683.84,0.00,0.00
2016-01-12 23:00:00,0.00,6361.26,0.00,0.00
2016-01-13 00:00:00,0.00,5669.10,0.00,0.00
2016-01-13 01:00:00,0.00,5129.01,0.00,0.00
2016-01-13 02:00:00,0.00,4746.52,0.00,0.00
2016-01-13 03:00:00,0.00,4474.64,0.00,0.00
2016-01-13 04:00:00,0.00,4358.51,0.00,0.00
2016-01-13 05:00:00,0.00,4274.64,0.00,0.00
2016-01-13 06:00:00,0.00,4285.70,0.00,0.00
2016-01-13 07:00:00,62.77,4363.94,0.00,0.00
2016-01-13 08:00:00,859.41,3629.05,0.00,0.00
2016-01-13 09:00:00,2483.11,2433.00,0.00,0.00
2016-01-13 10:00:00,3476.74,1889.13,0.00,0.00
2016-01-13 11:00:00,3862.05,1638.39,0.00,0.00
2016-01-13 12:00:00,3949.90,1596.62,0.00,0.00
2016-01-13 13:00:00,3910.07,1524.01,0.00,0.00
2016-01-13 14:00:00,3657.13,1578.80,0.00,0.00
2016-01-13 15:00:00,2971.32,2225.89,0.00,0.00
2016-01-13 16:00:00,1547.33,3575.23,0.00,0.00
2016-01-13 17:00:00,341.52,4870.44,0.00,0.00
2016-01-13 18:00:00,13.97,6126.10,0.00,0.00
2016-01-13 19:00:00,0.00,6563.11,0.00,0.00
2016-01-13 20:00:00,0.00,6668.18,0.00,0.00
2016-01-13 21:00:00,0.00,6532.69,0.00,0.00
2016-01-13 22:00:00,0.00,6259.88,0.00,0.00
2016-01-13 23:00:00,0.00,5945.60,0.00,0.00
2016-01-14 00:00:00,0.00,5295.83,0.00,0.00
2016-01-14 01:00:00,0.00,4802.75,0.00,0.00
2016-01-14 02:00:00,0.00,4346.53,0.00,0.00
2016-01-14 03:00:00,0.00,4108.74,0.00,0.00
2016-01-14 04:00:00,0.00,4058.97,0.00,0.00
2016-01-14 05:00:00,0.00,3996.30,0.00,0.00
2016-01-14 06:00:00,0.00,4001.83,0.00,0.00
2016-01-14 07:00:00,62.01,3892.81,0.00,0.00
